Code EAN article;Code interne;Libell‚ long article;Code rayon;Code famille;Code sous-famille;Code marque;Code du fournisseur;R‚f‚rence fournisseur;Code TVA;Prix d?achat ht brut;Taux de remise;Frais montant;Frais taux;Prix de vente ttc;Unit‚ de mesure;Coefficient unit‚ de mesure;Conditionnement achat;R‚appro mini;R‚appro d‚lai;Article pesable?;Tarif1 ttc supl;Tarif2 ttc supl;Tarif3 ttc supl;Tarif4 ttc supl;Libell‚ court (caisse);Article bloqu‚ en vente;Article bloqu‚ en achat;Promo du;Promo au;Prix promo ht;Prix promo ttc
3059940000000    ;120953;NET PIST DEGRAISSANT CIL 750ML;12;320;5;MN;2;0;3;3.59;;;;7.25;L;0.75;12;;;0;;;;;NET PIST DEGRAISSANT CIL 750ML;;1;;;;
7622210000000    ;141884;PEPITO NOIR GM LU 192G        ;14;10;7;MN;2;0;2;1.28;;;;2.15;Kg;0.192;18;;;0;;;;;PEPITO NOIR GM LU 192G        ;;1;;;;
255810000000    ;540490;TUTTI FRUITI FONTANA 6/8P     ;54;730;6;MN;20997;0;2;12.03;;;;19.9;Kg;1;1;;;0;;;;;TUTTI FRUITI FONTANA 6/8P     ;;1;;;;
3449860000000    ;231364;SAUCISSON SEC PP 90G GAUL     ;23;850;11;MN;4;0;2;2;;;;2.15;Kg;0.09;12;;;0;;;;;SAUCISSON SEC PP 90G GAUL     ;;0;;;;
8714800000000    ;116107;BIERE GRENAD S/ALC BAVA 6X33CL;11;240;4;MN;400;0;2;4.5;;;;5.85;L;1.98;4;;;0;;;;;BIERE GRENAD S/ALC BAVA 6X33CL;;0;;;;
8714790000000    ;130510;PAIC EXCEL + AB 500ML         ;12;320;14;MN;20365;0;3;1.9;;;;2.75;L;0.5;12;;;0;;;;;PAIC EXCEL + AB 500ML         ;;0;;;;
4763    ;315677;6 VERRE TUBE 38CL CRF HOME    ;31;375;1;CR;90090;0;3;5.76;;;;6.99;Unit‚;1;1;;;0;;;;;6 VERRE TUBE 38CL CRF HOME    ;;0;;;;
3608140000000    ;321447;PAPIER DESS.12F 224GR 240X320 ;32;403;2;  ;2;0;3;0.59;;;;1.39;Unit‚;1;1;;;0;;;;;PAPIER DESS.12F 224GR 240X320 ;;0;;;;
3451790000000    ;211305;MILKANA SO GOOD BANANE 4X100G ;21;825;3;MN;90019;0;2;1.9;;;;2.5;Kg;0.4;6;;;0;;;;;MILKANA SO GOOD BANANE 4X100G ;;1;;;;
3568360000000    ;301764;AMP.ECO LBC 20WE27            ;30;397;1;MN;20182;0;3;2.07;;;;3.7;Unit‚;1;1;;;0;;;;;AMP.ECO LBC 20WE27            ;;0;;;;
7613030000000    ;152902;AFTER EIGHT IRISH COFFEE 300G ;14;50;2;MN;395;0;2;5.92;;;;7.45;Kg;0.3;12;;;0;;;;;AFTER EIGHT IRISH COFFEE 300G ;;1;;;;
8711250000000    ;315548;ALLUME GAZ ELECTRIQUE 27CM    ;35;383;1;MN;20138;0;3;1.8;;;;3.5;Unit‚;1;48;;;0;;;;;ALLUME GAZ ELECTRIQUE 27CM    ;;0;;;;
3390510000000    ;301711;TOURNEVIS PZ2X100 CRF         ;30;385;1;CR;90090;0;3;1.37;;;;2.2;Unit‚;1;1;;;0;;;;;TOURNEVIS PZ2X100 CRF         ;;0;;;;
3270190000000    ;230560;VIANDE DE GRISON 12T 80G CRF  ;23;850;8;CR;4;0;2;3.33;;;;4.5;Kg;0.08;16;;;0;;;;;VIANDE DE GRISON 12T 80G CRF  ;;0;;;;
3181730000000    ;121623;MOUSSE RAS HYD WILLIAMS 200ML ;12;285;4;MN;22003;0;3;2.56;;;;3.75;L;0.2;6;;;0;;;;;MOUSSE RAS HYD WILLIAMS 200ML ;;1;;;;
3328250000000    ;122228;PAPIER TOILETTE POLICHON 6 RLX;12;300;3;MN;22003;0;3;1.93;;;;3.1;Unit‚;1;12;;;0;;;;;PAPIER TOILETTE POLICHON 6 RLX;;1;;;;
3073780000000    ;220060;TOASTINETTE SANDWICH 10T 200G ;22;795;10;MN;20312;0;2;1.44;;;;1.99;Kg;0.2;36;;;0;;;;;TOASTINETTE SANDWICH 10T 200G ;;0;;;;
2934030000000    ;510048;PORT SALUT                    ;51;690;4;MN;20312;0;2;11.17;;;;15.85;Kg;1;1;;;1;;;;;PORT SALUT                    ;;0;;;;
3059940000000    ;130821;CILLIT MOUSSE ANT/BACTER 600ML;12;320;5;MN;80;0;3;4.844;;;;6.85;L;0.6;12;;;0;;;;;CILLIT MOUSSE ANT/BACTER 600ML;;0;;;;
828180000000    ;130912;FAUX CHEVEUX KANEKALON N›4    ;12;280;8;MN;700;0;3;2.21;;;;3.49;Unit‚;1;6;;;0;;;;;FAUX CHEVEUX KANEKALON N›4    ;;0;;;;
41508511612    ;116424;SAN PELLEGRINO ORAN/SANG 33CL ;11;245;5;MN;515;0;2;1.15;;;;1.45;L;0.33;24;;;0;;;;;SAN PELLEGRINO ORAN/SANG 33CL ;;0;;;;
3327520000000    ;122203;ACTIVILONG CAROT CHX SEC/AGR 2;12;280;2;MN;20101;0;3;3.78;;;;5.75;L;0.25;12;;;0;;;;;ACTIVILONG CAROT CHX SEC/AGR 2;;0;;;;
3073780000000    ;220068;SLICE VQR LIGHT 187 GR        ;22;795;10;MN;20312;0;2;1.46;;;;1.99;Kg;0.187;36;;;0;;;;;SLICE VQR LIGHT 187 GR        ;;0;;;;
3492840000000    ;221398;PUR BREBIS 150GR              ;22;795;5;MN;4;0;2;1.66;;;;2;Kg;0.15;20;;;0;;;;;PUR BREBIS 150GR              ;;0;;;;
3245410000000    ;230882;SDW MAXI JBN/EMM/CRUD.200G CRF;58;855;6;CR;4;0;2;3.08;;;;3.49;Kg;0.2;6;;;0;;;;;SDW MAXI JBN/EMM/CRUD.200G CRF;;0;;;;
260063000000    ;560063;KAKI PERSIMON IMPORT          ;56;645;17;MN;4;0;2;3.28;;;;4.25;Kg;1;5;;;1;;;;;KAKI PERSIMON IMPORT          ;;0;;;;
3000030000000    ;560224;P.D.T LAVEES 5KG+20%          ;56;640;20;MN;4;0;2;3.9;;;;5.59;Kg;5;1;;;0;;;;;P.D.T LAVEES 5KG+20%          ;;0;;;;
3760220000000    ;560224;P.D.T LAVEES 5KG+20%          ;56;640;20;MN;4;0;2;3.9;;;;5.59;Kg;5;1;;;0;;;;;P.D.T LAVEES 5KG+20%          ;;0;;;;
3760050000000    ;560229;CHAMPIGNON BLANC 250G         ;56;640;10;  ;4;0;2;3.2;;;;4.5;Kg;0.25;1;;;0;;;;;CHAMPIGNON BLANC 250G         ;;0;;;;
3700160000000    ;240347;COLIN PANE D'ALASKA 200 PP    ;53;709;1;PP;4;0;2;4.18;;;;4.95;Kg;0.2;8;;;0;;;;;COLIN PANE D'ALASKA 200 PP    ;;1;;;;
3609230000000    ;316064;BOL BLANC 14 PORCELAI BLANC TU;31;375;1;  ;90090;0;3;1.4;;;;2.6;Unit‚;1;36;;;0;;;;;BOL BLANC 14 PORCELAI BLANC TU;;0;;;;
3000170000000    ;561657;PDT VAPEUR ROUGE NEUTRE 2K5   ;56;640;20;MN;4;0;2;2.59;;;;3.65;Kg;2.5;10;;;0;;;;;PDT VAPEUR ROUGE NEUTRE 2K5   ;;0;;;;
3123940000000    ;220143;SLICE WELCOME NATURE 200G     ;22;795;7;MN;4;0;2;1.49;;;;2.1;Kg;0.2;24;;;0;;;;;SLICE WELCOME NATURE 200G     ;;1;;;;
3336810000000    ;561081;KIT AIL TRESSE/GRAPPE 500G    ;56;640;26;MN;4;0;2;4.75;;;;6.99;Kg;0.5;40;;;0;;;;;KIT AIL TRESSE/GRAPPE 500G    ;;0;;;;
3264040000000    ;561166;BATAVIA NUE 500G              ;56;640;33;MN;4;0;2;5.02;;;;7.8;Unit‚;1;1;;;0;;;;;BATAVIA NUE 500G              ;;0;;;;
