Code EAN article;Code interne;Libell‚ long article;Code rayon;Code famille;Code sous-famille;Code marque;Code du fournisseur;R‚f‚rence fournisseur;Code TVA;Prix d?achat ht brut;Taux de remise;Frais montant;Frais taux;Prix de vente ttc;Unit‚ de mesure;Coefficient unit‚ de mesure;Conditionnement achat;R‚appro mini;R‚appro d‚lai;Article pesable?;Tarif1 ttc supl;Tarif2 ttc supl;Tarif3 ttc supl;Tarif4 ttc supl;Libell‚ court (caisse);Article bloqu‚ en vente;Article bloqu‚ en achat;Promo du;Promo au;Prix promo ht;Prix promo ttc
256421000000    ;560086;POIRES ABATE CAT.2 IMPORT     ;56;645;12;MN;4;0;2;2.5;;;;3.61;Kg;1;7;;;1;;;;;POIRES ABATE CAT.2 IMPORT     ;;0;;;;
828179000000    ;124628;NATTE BIJOU SUP JUMBO BRAID 4 ;12;280;8;MN;700;27501;3;0.89;;;;1.45;Unit‚;1;12;;;0;;;;;NATTE BIJOU SUP JUMBO BRAID 4 ;;0;;;;
2910040000000    ;510042;VIEUX PANE 50%                ;51;690;2;MN;4;0;2;23.85;;;;32.19;Kg;1;5;;;1;;;;;VIEUX PANE 50%                ;;0;;;;
206090000    ;271251;GRATIN DE CHOUX FLEUR 450G CRF;27;750;5;CR;3;0;2;1.75;;;;2.85;Kg;0.45;6;;;0;;;;;GRATIN DE CHOUX FLEUR 450G CRF;;1;;;;
3245410000000    ;271251;GRATIN DE CHOUX FLEUR 450G CRF;27;750;5;CR;3;0;2;1.75;;;;2.85;Kg;0.45;6;;;0;;;;;GRATIN DE CHOUX FLEUR 450G CRF;;1;;;;
8719600000000    ;100218;PETER STUYVE EXTRA LIGHT CART ;10;972;2;MN;20827;0;1;55.8;;;;66;Unit‚;1;1;;;0;;;;;PETER STUYVE EXTRA LIGHT CART ;;0;;;;
3264030000000    ;560297;BQT POIRE CONFERENCE 60/70 1KG;56;645;12;MN;4;0;2;2.24;;;;3.67;Kg;1;12;;;0;;;;;BQT POIRE CONFERENCE 60/70 1KG;;1;;;;
3327420000000    ;111472;RHUM MONTEBELLO 55› 1L        ;11;230;9;MN;20247;0;3;5.66;;;;9.45;L;1;12;;;0;;;;;RHUM MONTEBELLO 55› 1L        ;;0;;;;
3327520000000    ;122224;SHAMP CARAPATE 250ML          ;12;280;1;MN;380;0;3;3.506;;;;5.95;L;0.25;12;;;0;;;;;SHAMP CARAPATE 250ML          ;;1;;;;
3328380000000    ;143722;CONF.EXT BAN-CARAMEL 325G     ;14;120;2;MN;340;0;2;2.16;;;;3.05;Kg;0.325;12;;;0;;;;;CONF.EXT BAN-CARAMEL 325G     ;;0;;;;
3411060000000    ;561588;BQT ROMARIN 30G               ;56;640;29;MN;4;0;2;1.28;;;;2.4;Kg;0.03;10;;;0;;;;;BQT ROMARIN 30G               ;;1;;;;
3266890000000    ;310993;SEAU ESPAGNOL COMPLET         ;31;364;1;MN;80;0;3;3.6;;;;5.65;Unit‚;1;10;;;0;;;;;SEAU ESPAGNOL COMPLET         ;;1;;;;
