Code EAN article;Code interne;Libell‚ long article;Code rayon;Code famille;Code sous-famille;Code marque;Code du fournisseur;R‚f‚rence fournisseur;Code TVA;Prix d?achat ht brut;Taux de remise;Frais montant;Frais taux;Prix de vente ttc;Unit‚ de mesure;Coefficient unit‚ de mesure;Conditionnement achat;R‚appro mini;R‚appro d‚lai;Article pesable?;Tarif1 ttc supl;Tarif2 ttc supl;Tarif3 ttc supl;Tarif4 ttc supl;Libell‚ court (caisse);Article bloqu‚ en vente;Article bloqu‚ en achat;Promo du;Promo au;Prix promo ht;Prix promo ttc
4009040000000    ;314630;1 SAC BRETELLE EN LIASSE CRF  ;31;362;1;CR;2;0;3;0.03;;;;0.05;Unit‚;1;2700;;;0;;;;;1 SAC BRETELLE EN LIASSE CRF  ;;0;;;;
4006380000000    ;321740;2 STABILO SWING JAUNE ROSE    ;32;403;1;  ;10008;0;3;1.76;;;;3.52;Unit‚;1;20;;;0;;;;;2 STABILO SWING JAUNE ROSE    ;;0;;;;
8437010000000    ;153326;SACHET GLOWWORMS 100G         ;14;45;4;  ;20138;0;3;0.94;;;;1.49;Unit‚;1;1;;;0;;;;;SACHET GLOWWORMS 100G         ;;0;;;;
3920190000000    ;560251;PDT MCAR FRITENVLE  40/70 2K5 ;56;640;20;MN;4;0;2;2.69;;;;4.55;Kg;2.5;10;;;0;;;;;PDT MCAR FRITENVLE  40/70 2K5 ;;0;;;;
3264030000000    ;560110;POMME RED IMPORT              ;56;645;14;MN;4;0;2;1.7;;;;2.15;Kg;1;19;;;1;;;;;POMME RED IMPORT              ;;0;;;;
7790980000000    ;114366;CHAMPAGNE CHANDON BRUT 75CL   ;11;210;1;MN;280;0;3;11.6;;;;15.35;L;0.75;6;;;0;;;;;CHAMPAGNE CHANDON BRUT 75CL   ;;0;;;;
3147700000000    ;114179;BOURBON OLD VIRGINIA 40› 70CL ;11;230;1;MN;20124;0;3;14.57;;;;20.29;L;0.7;6;;;0;;;;;BOURBON OLD VIRGINIA 40› 70CL ;;0;;;;
3390500000000    ;300639;8 PILE LR03 I-TECH CRF        ;30;396;1;CR;2;0;3;1.55;;;;1.9;Unit‚;1;1;;;0;;;;;8 PILE LR03 I-TECH CRF        ;;0;;;;
3560070000000    ;126172;BAD POIL CROISE SOUPLE CRF X2 ;12;285;3;CR;90052;0;3;0.8;;;;1.39;Unit‚;1;12;;;0;;;;;BAD POIL CROISE SOUPLE CRF X2 ;;1;;;;
3271330000000    ;114188;MATOUBA THE PECHE 150CL       ;11;245;11;MN;20832;0;2;1.601;;;;1.99;L;1.5;6;;;0;;;;;MATOUBA THE PECHE 150CL       ;;0;;;;
3021690000000    ;146145;CANNELONI ZAPETTI 400G        ;14;145;5;MN;20467;0;2;2.38;;;;3.15;Kg;0.4;12;;;0;;;;;CANNELONI ZAPETTI 400G        ;;0;;;;
10181040085    ;126878;LOTION BEURRE CACAO POT 200ML ;12;285;9;MN;160;0;3;4.68;;;;7.6;L;0.2;6;;;0;;;;;LOTION BEURRE CACAO POT 200ML ;;1;;;;
3780040000000    ;561282;BOUQUET MEDIUM                ;56;650;1;MN;20158;0;2;5.53;;;;8.9;Unit‚;1;1;;;0;;;;;BOUQUET MEDIUM                ;;1;;;;
3390510000000    ;313603;50 SERV 33X33 2PLIS TURQUOIS  ;31;377;1;CR;90090;        ;3;0.68;;;;1.3;Unit‚;1;7;;;0;;;;;50 SERV 33X33 2PLIS TURQUOIS  ;;0;;;;
3600520000000    ;127157;SHAMP DREAM LONG 250ML        ;12;280;1;MN;140;0;3;3.93;;;;5.1;L;0.25;12;;;0;;;;;SHAMP DREAM LONG 250ML        ;;0;;;;
8693500000000    ;120521;SAV PROTEX DOUX 4X90G         ;12;285;1;MN;20365;0;3;3.32;;;;4.95;Kg;0.36;18;;;0;;;;;SAV PROTEX DOUX 4X90G         ;;0;;;;
7751760000000    ;271446;PERSIL SACHET 500G PEROU      ;27;750;2;MN;3;0;2;1.77;;;;2.4;Kg;0.5;24;;;0;;;;;PERSIL SACHET 500G PEROU      ;;0;;;;
9020640000000    ;110176;JUS ORANGE REA BR 6X20CL      ;11;245;7;MN;180;0;2;3.3;;;;4.4;L;1.2;3;;;0;;;;;JUS ORANGE REA BR 6X20CL      ;;1;;;;
3560070000000    ;149409;ASSORT MIXTE ESPRIT FETE 445G ;14;50;2;  ;2;0;3;7.54;;;;10.55;Kg;0.445;10;;;0;;;;;ASSORT MIXTE ESPRIT FETE 445G ;;0;;;;
3560070000000    ;125998;GEL LAVE VSL CRF 1.5L         ;12;320;13;CR;2;0;3;3.13;;;;4.95;L;1.5;10;;;0;;;;;GEL LAVE VSL CRF 1.5L         ;;0;;;;
3560070000000    ;148597;CACAHUETE GRIL/SEC CRF 500G   ;14;100;1;CR;2;0;2;1.98;;;;2.9;Kg;0.5;12;;;0;;;;;CACAHUETE GRIL/SEC CRF 500G   ;;0;;;;
8714790000000    ;124821;AJAX VITRE PISTOLET 750ML     ;12;320;3;MN;20365;0;3;2.8;;;;4.25;L;0.75;12;;;0;;;;;AJAX VITRE PISTOLET 750ML     ;;0;;;;
3120090000000    ;313915;CORDE A LINGE 20M             ;31;364;5;  ;90090;        ;3;1.59;;;;2.7;Unit‚;1;1;;;0;;;;;CORDE A LINGE 20M             ;;0;;;;
240631000000    ;540631;PAIN RASSIS                   ;54;730;1;MN;565;0;2;0.58;;;;0.59;Kg;1;1;;;0;;;;;PAIN RASSIS                   ;;0;;;;
3265480000000    ;143541;HUILE ISIO 4 LESIEUR 1L       ;14;105;4;MN;20312;0;2;3.67;;;;4.65;L;1;15;;;0;;;;;HUILE ISIO 4 LESIEUR 1L       ;;0;;;;
