Code EAN article;Code interne;Libell‚ long article;Code rayon;Code famille;Code sous-famille;Code marque;Code du fournisseur;R‚f‚rence fournisseur;Code TVA;Prix d?achat ht brut;Taux de remise;Frais montant;Frais taux;Prix de vente ttc;Unit‚ de mesure;Coefficient unit‚ de mesure;Conditionnement achat;R‚appro mini;R‚appro d‚lai;Article pesable?;Tarif1 ttc supl;Tarif2 ttc supl;Tarif3 ttc supl;Tarif4 ttc supl;Libell‚ court (caisse);Article bloqu‚ en vente;Article bloqu‚ en achat;Promo du;Promo au;Prix promo ht;Prix promo ttc
3502490000000    ;562394;NOISETTE DECORTIQ DOMINO 500G ;56;660;1;MN;4;0;2;6.33;;;;8.45;Kg;0.5;16;;;0;;;;;NOISETTE DECORTIQ DOMINO 500G ;;0;;;;
3328720000000    ;117827;EAU CAPES NATUREL 33CL X12    ;11;235;1;MN;70;0;2;3.36;;;;4.65;L;3.96;1;;;0;;;;;EAU CAPES NATUREL 33CL X12    ;;0;;;;
233005000000    ;500614;KASSLER FUME                  ;50;670;8;MN;4;0;2;10.01;;;;14.25;Kg;1;6;;;1;;;;;KASSLER FUME                  ;;0;;;;
3245420000000    ;272356;TARTE VERGEOISE POMME CRF     ;54;730;6;CR;3;0;2;4.85;;;;7.45;Kg;0.98;12;;;0;;;;;TARTE VERGEOISE POMME CRF     ;;0;;;;
3270190000000    ;320895;BLOC NOTES 80G 21X29.7        ;32;400;1;CR;20058;0;3;0.89;;;;1.6;Unit‚;1;20;;;0;;;;;BLOC NOTES 80G 21X29.7        ;;0;;;;
3246790000000    ;540077;ROULADE MYRTILLE SEREBIS 300G ;57;810;7;MN;2;0;2;1.72;;;;2.49;Kg;0.3;7;;;0;;;;;ROULADE MYRTILLE SEREBIS 300G ;;0;;;;
3233690000000    ;380726;FICELLE SISAL 0.8/2 100G 35M  ;30;385;1;MN;20058;0;3;2.69;;;;4.99;Unit‚;1;12;;;0;;;;;FICELLE SISAL 0.8/2 100G 35M  ;;0;;;;
3608140000000    ;315199;PANIER 20 PINCES EXTRA-FORTES ;31;364;5;CR;20058;0;3;3.67;;;;6.4;Unit‚;1;10;;;0;;;;;PANIER 20 PINCES EXTRA-FORTES ;;0;;;;
3390510000000    ;370501;HUILE 5W40 5L                 ;37;446;1;CR;20058;0;3;13.47;;;;21.7;Unit‚;1;3;;;0;;;;;HUILE 5W40 5L                 ;;0;;;;
3154140000000    ;322515;TAILLE-CRAYON GALACTIC 1 TROU ;32;400;1;CR;20058;0;3;1.31;;;;2.5;Unit‚;1;25;;;0;;;;;TAILLE-CRAYON GALACTIC 1 TROU ;;0;;;;
4005810000000    ;132060;SUN PROT&REFRECH SPF 50 200ML ;12;285;9;MN;80;0;3;10.696;;;;15.69;L;0.2;12;;;0;;;;;SUN PROT&REFRECH SPF 50 200ML ;;0;;;;
4005810000000    ;123091;LAIT HYD.VISAGE PS NIVEA 200ML;12;290;1;MN;80;0;3;4.117;;;;5.95;L;0.2;12;;;0;;;;;LAIT HYD.VISAGE PS NIVEA 200ML;;0;;;;
42316015    ;123119;NIVEA CR MAINS NOURISS 75ML   ;12;285;9;MN;80;0;3;2.356;;;;3.45;L;0.075;12;;;0;;;;;NIVEA CR MAINS NOURISS 75ML   ;;0;;;;
3270190000000    ;313495;BALAI COCO ZEBRE              ;31;364;1;CR;20058;0;3;1.95;;;;3.99;Unit‚;1;12;;;0;;;;;BALAI COCO ZEBRE              ;;1;;;;
2860820000000    ;260818;POT AU FEU                    ;26;621;1;MN;90053;0;2;8;;;;9.9;Kg;1;1;;;1;;;;;POT AU FEU                    ;;1;;;;
9782210000000    ;331953;CAH  JOUR/ SOIR ANGLAIS CE1   ;33;405;1;MN;20026;0;2;9.03;;;;12.8;Unit‚;1;1;;;0;;;;;CAH  JOUR/ SOIR ANGLAIS CE1   ;;0;;;;
214578000000    ;510386;ROQUEFORT 1/2 PAIN RDF 1K35   ;51;690;6;MN;20351;0;2;18.76;;;;27.85;Kg;1;1;;;1;;;;;ROQUEFORT 1/2 PAIN RDF 1K35   ;;1;;;;
8692640000000    ;370754;SPRAY COCKPIT CITRON 225ML POL;37;446;1;MN;500;0;3;1.41;;;;2.4;Unit‚;1;12;;;0;;;;;SPRAY COCKPIT CITRON 225ML POL;;0;;;;
3560070000000    ;280864;GLACE CRF BIO VANILLE 471G    ;28;755;1;CR;3;0;2;3.07;;;;4.85;Kg;0.471;9;;;0;;;;;GLACE CRF BIO VANILLE 471G    ;;0;;;;
3264    ;561149;CHOUX ROMANESCO PIECE IMPORT  ;56;640;11;MN;36;0;2;2.07;;;;4.93;Unit‚;1;1;;;0;;;;;CHOUX ROMANESCO PIECE IMPORT  ;;0;;;;
260700000000    ;560700;GINGEMBRE VRAC IMPORT         ;56;640;31;MN;390;0;2;3.5;;;;5.69;Kg;1;1;;;1;;;;;GINGEMBRE VRAC IMPORT         ;;0;;;;
3291330000000    ;211761;PANIER BOIRE PECHE JAUNE 25OG ;21;825;5;MN;510;0;2;0.9;;;;1.25;Kg;0.25;1;;;0;;;;;PANIER BOIRE PECHE JAUNE 25OG ;;0;;;;
3172000000000    ;250400;POULET FERM.NU LABEL AUV.CRF  ;25;835;3;MN;4;0;2;13.44;;;;15.59;Kg;100;1;;;1;;;;;POULET FERM.NU LABEL AUV.CRF  ;;1;;;;
3760050000000    ;561062;SALADE BEURRE PIECE           ;56;640;23;MN;36;0;2;1.2;;;;1.94;Unit‚;1;1;;;0;;;;;SALADE BEURRE PIECE           ;;0;;;;
3139320000000    ;157112;THON NAT 1/4 SAUPIQUET 185G   ;14;135;2;MN;480;0;2;2.3;;;;2.7;Kg;0.185;12;;;0;;;;;THON NAT 1/4 SAUPIQUET 185G   ;;0;;;;
3113010000000    ;232140;B.F.G.CND SEL GUERANDE 180G   ;23;850;13;MN;4;0;2;16.55;;;;20.95;Kg;0.18;16;;;0;;;;;B.F.G.CND SEL GUERANDE 180G   ;;0;;;;
5040    ;560685;CARAMBOLE                     ;56;645;17;MN;390;0;2;1.2;;;;2.05;Kg;25;1;;;1;;;;;CARAMBOLE                     ;;0;;;;
9416    ;560186;HARICOTS VERTS CARAIBES       ;56;640;15;MN;20005;0;2;4.12;;;;3.75;Kg;1;1;;;1;;;;;HARICOTS VERTS CARAIBES       ;;0;;;;
3120370000000    ;450570;TONG IMP HOMME                ;45;530;4;  ;90090;0;3;1.62;;;;2.6;Unit‚;1;1;;;0;;;;;TONG IMP HOMME                ;;0;;;;
4712700000000    ;830090;CLE USB 8GB                   ;83;952;1;MN;10008;0;3;9.9;;;;0;Unit‚;1;1;;;0;;;;;CLE USB 8GB                   ;;0;;;;
3327520000000    ;134654;POMMADE REPARATRICE COCO      ;12;280;2;MN;20101;0;3;3.78;;;;5.75;Unit‚;1;1;;;0;;;;;POMMADE REPARATRICE COCO      ;;0;;;;
3600540000000    ;134690;BELLE COLOR 46 CHATAIN        ;12;280;5;MN;140;0;3;9.33;;;;11.99;Unit‚;1;6;;;0;;;;;BELLE COLOR 46 CHATAIN        ;;0;;;;
256223000000    ;560628;NAVET LOCAL                   ;56;640;32;MN;36;0;2;2;;;;4.15;Kg;1;1;;;1;;;;;NAVET LOCAL                   ;;0;;;;
3059940000000    ;134417;GEL APAISANT INTIMA 200ML X2  ;12;300;4;MN;80;0;3;7.78;;;;9.9;L;0.4;6;;;0;;;;;GEL APAISANT INTIMA 200ML X2  ;;0;;;;
31541412    ;322676;                              ;32;400;13;  ;20058;0;3;0.2;;;;0.6;Unit‚;1;1;;;0;;;;;                              ;;0;;;;
3148950000000    ;322692;PAIER MILLIMETRE CANSON       ;32;400;3;MN;46;0;3;2.21;;;;3.5;Unit‚;1;1;;;0;;;;;PAIER MILLIMETRE CANSON       ;;1;;;;
3161710000000    ;222145;CAMEMBERT GERARD SELECT 125G  ;22;795;1;MN;8;0;2;2.36;;;;0;Kg;0.125;1;;;0;;;;;CAMEMBERT GERARD SELECT 125G  ;;0;;;;
3600550000000    ;135137;USHUAIA ATO DOEF JAPON 200ML  ;12;285;5;MN;140;0;3;3.85;;;;5.15;L;0.2;12;;;0;;;;;USHUAIA ATO DOEF JAPON 200ML  ;;0;;;;
3270190000000    ;230942;CELERI REMOULADE 300G CRF     ;58;855;5;CR;4;0;2;3.04;;;;3.65;Kg;0.3;6;;;0;;;;;CELERI REMOULADE 300G CRF     ;;0;;;;
3302300000000    ;318822;ORCHIDEE POT                  ;31;363;1;MN;20182;0;3;3.35;;;;0;Unit‚;1;1;;;0;;;;;ORCHIDEE POT                  ;;0;;;;
