Code EAN article;Code interne;Libell‚ long article;Code rayon;Code famille;Code sous-famille;Code marque;Code du fournisseur;R‚f‚rence fournisseur;Code TVA;Prix d?achat ht brut;Taux de remise;Frais montant;Frais taux;Prix de vente ttc;Unit‚ de mesure;Coefficient unit‚ de mesure;Conditionnement achat;R‚appro mini;R‚appro d‚lai;Article pesable?;Tarif1 ttc supl;Tarif2 ttc supl;Tarif3 ttc supl;Tarif4 ttc supl;Libell‚ court (caisse);Article bloqu‚ en vente;Article bloqu‚ en achat;Promo du;Promo au;Prix promo ht;Prix promo ttc
3600540000000    ;134515;AP/SOLEIL HYDRA GARNIER 200ML ;12;285;9;MN;8;0;3;5;;;;9;L;0.2;6;;;0;;;;;AP/SOLEIL HYDRA GARNIER 200ML ;;0;;;;
4005900000000    ;134585;LT HUILE HYDR CACAO/MACA 200ML;12;285;9;MN;80;0;3;3.898;;;;5.45;L;0.2;12;;;0;;;;;LT HUILE HYDR CACAO/MACA 200ML;;1;;;;
3660990000000    ;118371;ST JULIEN RG  GRUAUD LARO 75CL;11;205;1;MN;2;0;3;21.13;;;;29.95;L;0.75;6;;;0;;;;;ST JULIEN RG  GRUAUD LARO 75CL;;1;;;;
5013    ;560993;MARACUDJA LOCAL               ;56;645;17;MN;20005;0;2;1.8;;;;5.65;Kg;1;1;;;1;;;;;MARACUDJA LOCAL               ;;0;;;;
2602460000000    ;560105;CELERI VERT VRAC CAT.2 IMPORT ;56;640;8;MN;20005;0;2;1.29;;;;3.39;Kg;1;1;;;1;;;;;CELERI VERT VRAC CAT.2 IMPORT ;;0;;;;
9503    ;560515;CITRON JAUNE CAT.2 IMPORT     ;56;645;2;MN;36;0;2;2;;;;4.95;Kg;1;1;;;1;;;;;CITRON JAUNE CAT.2 IMPORT     ;;0;;;;
5013    ;560993;MARACUDJA LOCAL               ;56;645;17;MN;19171;0;2;1.8;;;;5.65;Kg;1;1;;;1;;;;;MARACUDJA LOCAL               ;;0;;;;
256565000000    ;561247;IGNAME JAUNE CARAIBES         ;56;640;32;MS;36;0;2;2.38;;;;3.95;Kg;1;1;;;1;;;;;IGNAME JAUNE CARAIBES         ;;0;;;;
3264040000000    ;560300;POMME CANADA CAT.2 1MPORT     ;56;645;14;MN;36;0;2;1.92;;;;4.35;Kg;1;1;;;1;;;;;POMME CANADA CAT.2 1MPORT     ;;0;;;;
260685000000    ;560685;CARAMBOLE                     ;56;645;17;MN;20005;0;2;1.2;;;;2.05;Kg;25;1;;;1;;;;;CARAMBOLE                     ;;0;;;;
3580280000000    ;157150;CONFINADE TOMATE CHEVRE 180G  ;14;165;3;MN;8;0;2;3.272;;;;4.55;Kg;0.18;12;;;0;;;;;CONFINADE TOMATE CHEVRE 180G  ;;0;;;;
8410060000000    ;581490;MINI FOURRE BACON PRUN 100G   ;58;855;6;MN;4;0;2;3.55;;;;4.45;Kg;0.1;10;;;0;;;;;MINI FOURRE BACON PRUN 100G   ;;0;;;;
6062    ;560262;BOUQUET CIVE TRADITIONNEL     ;56;640;29;MN;19172;0;2;1.8;;;;2.6;Unit‚;1;1;;;0;;;;;BOUQUET CIVE TRADITIONNEL     ;;1;;;;
5767    ;562730;RUTABAGAS VRAC IMPORT         ;56;640;22;MN;4;0;2;2.77;;;;4;Kg;1;5;;;1;;;;;RUTABAGAS VRAC IMPORT         ;;1;;;;
3574660000000    ;124352;TAMP.NETT NORM.PRO CONFORT X24;12;300;4;MN;550;0;2;3.42;;;;4.55;Unit‚;1;24;;;0;;;;;TAMP.NETT NORM.PRO CONFORT X24;;0;;;;
3780380000000    ;332122;CAPITAL                       ;33;930;1;MN;20956;0;1;6.96;;;;8;Unit‚;1;1;;;0;;;;;CAPITAL                       ;;0;;;;
3614610000000    ;302340;12+8 PILES LR03 I TECH CRF    ;30;396;1;CR;2;0;3;2.76;;;;4.99;Unit‚;1;1;;;0;;;;;12+8 PILES LR03 I TECH CRF    ;;0;;;;
               ;332840;A VIVRE #95                   ;33;930;1;MN;20956;0;1;6.23;;;;0;Unit‚;1;1;;;0;;;;;A VIVRE #95                   ;;0;;;;
3456300000000    ;158556;CREME DE MARRON 320G          ;14;155;1;MN;20659;0;2;5.6;;;;0;Kg;0.32;1;;;0;;;;;CREME DE MARRON 320G          ;;0;;;;
3000110000000    ;561453;BQT BASILIC 30G               ;56;640;29;MN;4;0;2;1.38;;;;2.49;Kg;0.03;10;;;0;;;;;BQT BASILIC 30G               ;;0;;;;
3411060000000    ;561453;BQT BASILIC 30G               ;56;640;29;MN;4;0;2;1.38;;;;2.49;Kg;0.03;10;;;0;;;;;BQT BASILIC 30G               ;;0;;;;
3245410000000    ;230845;TAGLIATELLE CRF FCHE 350G 'A' ;58;855;1;CR;4;0;2;3.35;;;;3.89;Kg;0.35;8;;;0;;;;;TAGLIATELLE CRF FCHE 350G 'A' ;;0;;;;
8423230000000    ;562937;BQT 4 COEUR DE LAITUE RGE 350G;56;640;23;MN;4;0;2;1.5;;;;2.56;Kg;0.35;10;;;0;;;;;BQT 4 COEUR DE LAITUE RGE 350G;;1;;;;
2000010000000    ;158379;COMP P NAT MORCEAU 695G SSAJ  ;14;120;1;MN;20309;0;2;4.09;;;;5.49;Kg;0.695;6;;;0;;;;;COMP P NAT MORCEAU 695G SSAJ  ;;0;;;;
3700300000000    ;401639;DRAP H 160X200 UNI 57 FILS COT;40;535;1;MN;90090;0;3;4.5;;;;7.5;Unit‚;1;1;;;0;;;;;DRAP H 160X200 UNI 57 FILS COT;;0;;;;
3560070000000    ;135424;LESS CONC 2EN1 ROSE 910ML CRF ;12;315;2;CR;2;0;3;2.22;;;;3.49;L;0.91;12;;;0;;;;;LESS CONC 2EN1 ROSE 910ML CRF ;;0;;;;
3385640000000    ;561454;BQT FRAMBOISE 125G            ;56;645;6;MN;4;0;2;3.46;;;;4.96;Kg;0.125;12;;;0;;;;;BQT FRAMBOISE 125G            ;;0;;;;
3264060000000    ;561259;COEUR DE SUCRINE 150G         ;56;640;23;MN;4;0;2;2.81;;;;3.98;Kg;0.15;12;;;0;;;;;COEUR DE SUCRINE 150G         ;;0;;;;
215341000000    ;250348;BQT POULE  A S/FILM M.COQ     ;25;835;1;MN;4;0;2;10.73;;;;17.63;Kg;1;4;;;1;;;;;BQT POULE  A S/FILM M.COQ     ;;1;;;;
3560070000000    ;581617;ASSORT VAPEUR 250G CRF        ;58;855;4;CR;4;0;2;5.73;;;;6.7;Kg;0.25;6;;;0;;;;;ASSORT VAPEUR 250G CRF        ;;0;;;;
8717870000000    ;322907;CLASSEUR A4 UNI ROUGE         ;32;400;54;MN;8;0;3;1.6;;;;0;Unit‚;1;1;;;0;;;;;CLASSEUR A4 UNI ROUGE         ;;0;;;;
3245410000000    ;149532;BALLOTIN ESCARGOT LAIT 200G   ;14;50;2;  ;2;0;2;4.1;;;;5.59;Kg;0.2;16;;;0;;;;;BALLOTIN ESCARGOT LAIT 200G   ;;1;;;;
8002480000000    ;118622;VEGANTE CHIANT BIO DO SEN 75CL;11;205;4;MN;20312;0;3;11.4;;;;16.45;L;0.75;6;;;0;;;;;VEGANTE CHIANT BIO DO SEN 75CL;;0;;;;
3264030000000    ;562846;PDT BAYARD FRITE A/GERMINA.2K5;56;640;20;PP;4;0;2;3.7;;;;4;Kg;2.5;6;;;0;;;;;PDT BAYARD FRITE A/GERMINA.2K5;;0;;;;
