Code EAN article;Code interne;Libell‚ long article;Code rayon;Code famille;Code sous-famille;Code marque;Code du fournisseur;R‚f‚rence fournisseur;Code TVA;Prix d?achat ht brut;Taux de remise;Frais montant;Frais taux;Prix de vente ttc;Unit‚ de mesure;Coefficient unit‚ de mesure;Conditionnement achat;R‚appro mini;R‚appro d‚lai;Article pesable?;Tarif1 ttc supl;Tarif2 ttc supl;Tarif3 ttc supl;Tarif4 ttc supl;Libell‚ court (caisse);Article bloqu‚ en vente;Article bloqu‚ en achat;Promo du;Promo au;Prix promo ht;Prix promo ttc
3030060000000    ;132860;MINI BUN ENFANT               ;12;280;8;MN;160;0;3;1.05;;;;0.95;Unit‚;1;5;;;0;;;;;MINI BUN ENFANT               ;;1;;;;
3040690000000    ;460207;FIL POL 200M BEIGE MASTIC     ;46;550;1;  ;20058;        ;3;2.21;;;;4;Unit‚;1;5;;;0;;;;;FIL POL 200M BEIGE MASTIC     ;;0;;;;
3487090000000    ;272246;OUASSOUS 6/8 SACHET 800G      ;27;750;4;MN;3;0;2;10.13;;;;14.25;Kg;0.8;10;;;0;;;;;OUASSOUS 6/8 SACHET 800G      ;;0;;;;
8009120000000    ;317269;PORTE GOBELET JAUNE           ;31;362;1;MN;430;0;3;4.95;;;;7.9;L;3;12;;;0;;;;;PORTE GOBELET JAUNE           ;;0;;;;
6920070000000    ;155151;SCE SOJA CLAIRE JAD 625ML     ;14;165;2;MN;2;0;2;1.82;;;;3.1;L;0.625;12;;;0;;;;;SCE SOJA CLAIRE JAD 625ML     ;;1;;;;
10181025051    ;126834;SOIN CAPILAIRE HLE OLIVE 150G ;12;280;2;MN;80;0;3;5.887;;;;8.55;Kg;0.15;6;;;0;;;;;SOIN CAPILAIRE HLE OLIVE 150G ;;0;;;;
3245410000000    ;155679;SAUCE TOM.SECHEES 190G CRFS   ;14;90;6;CR;2;0;2;1.14;;;;1.95;Kg;0.19;8;;;0;;;;;SAUCE TOM.SECHEES 190G CRFS   ;;0;;;;
4052490000000    ;250106;PILONS DE POULET 1KG          ;27;750;3;MN;20170;0;2;1.99;;;;2.59;Kg;1;1;;;0;;;;;PILONS DE POULET 1KG          ;;0;;;;
3162050000000    ;155301;VANILLE BOURBON MADAGAS 2GOUS ;14;55;4;  ;20058;        ;2;4.58;;;;6.35;Unit‚;1;12;;;0;;;;;VANILLE BOURBON MADAGAS 2GOUS ;;0;;;;
4015400000000    ;133156;PAMP NEW BABY  CP T2 X31 4/8KG;12;295;7;MN;20810;0;3;9.78;;;;13.6;Unit‚;1;4;;;0;;;;;PAMP NEW BABY  CP T2 X31 4/8KG;;0;;;;
3135250000000    ;322109;CHEMISE PP PRESENTATION  V CLI;32;400;48;MN;6026;0;3;1.27;;;;2.2;Unit‚;1;1;;;0;;;;;CHEMISE PP PRESENTATION  V CLI;;0;;;;
3067160000000    ;231980;MANCHON CANARD PERSIL 360G    ;23;850;13;MN;4;0;2;7.76;;;;9.95;Kg;0.36;6;;;0;;;;;MANCHON CANARD PERSIL 360G    ;;0;;;;
260628000000    ;560628;NAVET LOCAL                   ;56;640;32;MN;8;0;2;2.5;;;;4.15;Kg;1;1;;;1;;;;;NAVET LOCAL                   ;;0;;;;
5413150000000    ;317796;SWIFFER LINGETTES ATTRAPE POUS;31;364;2;MN;20810;0;3;5.58;;;;8.65;Unit‚;1;6;;;0;;;;;SWIFFER LINGETTES ATTRAPE POUS;;0;;;;
3541990000000    ;390574;LAISSE BASIC LINE 15MM X 120CM;39;435;1;MN;2047;        ;3;3.223;;;;6.2;Unit‚;1;10;;;0;;;;;LAISSE BASIC LINE 15MM X 120CM;;0;;;;
8936030000000    ;272375;BROCHETTE THAZARD SAC 800G    ;27;750;4;MN;3;0;2;8.54;;;;11.75;Kg;0.8;10;;;0;;;;;BROCHETTE THAZARD SAC 800G    ;;0;;;;
3560070000000    ;232030;JAMBON SUP DD S/ANTIB.4T 120G ;23;850;8;CR;4;0;2;2.96;;;;3.45;Kg;0.12;6;;;0;;;;;JAMBON SUP DD S/ANTIB.4T 120G ;;1;;;;
8710910000000    ;134114;COFF BRUT EDP+DEO MUSK        ;12;285;9;MN;2;0;3;12.23;;;;16.59;Unit‚;1;10;;;0;;;;;COFF BRUT EDP+DEO MUSK        ;;1;;;;
8015    ;541296;BAGUETTE CAMPAGNE NOIX 340G   ;54;730;2;MN;4;0;2;1.08;;;;1.55;Kg;0.34;1;;;0;;;;;BAGUETTE CAMPAGNE NOIX 340G   ;;1;;;;
8410080000000    ;157648;CRUNCHY CHIPS FAJITAS OEP 185G;14;165;2;MN;20167;0;2;2.33;;;;3.19;Kg;0.185;10;;;0;;;;;CRUNCHY CHIPS FAJITAS OEP 185G;;0;;;;
260062000000    ;560062;ABRICOTS CAT.2 IMPORT         ;56;645;1;MN;36;0;2;4.8;;;;5.04;Kg;1;1;;;1;;;;;ABRICOTS CAT.2 IMPORT         ;;0;;;;
