Code EAN article;Code interne;Libell‚ long article;Code rayon;Code famille;Code sous-famille;Code marque;Code du fournisseur;R‚f‚rence fournisseur;Code TVA;Prix d?achat ht brut;Taux de remise;Frais montant;Frais taux;Prix de vente ttc;Unit‚ de mesure;Coefficient unit‚ de mesure;Conditionnement achat;R‚appro mini;R‚appro d‚lai;Article pesable?;Tarif1 ttc supl;Tarif2 ttc supl;Tarif3 ttc supl;Tarif4 ttc supl;Libell‚ court (caisse);Article bloqu‚ en vente;Article bloqu‚ en achat;Promo du;Promo au;Prix promo ht;Prix promo ttc
3390510000000    ;130022;SAC POUB 15*100L GDJ          ;12;310;2;GJ;2;0;3;2.08;;;;0;Unit‚;1;15;;;0;;;;;SAC POUB 15*100L GDJ          ;;0;;;;
3361670000000    ;131362;AERO FOURM/ARAIG/CAFARD 400ML ;12;320;7;MN;20131;0;3;4.22;;;;6.79;L;0.4;21;;;0;;;;;AERO FOURM/ARAIG/CAFARD 400ML ;;0;;;;
8717640000000    ;127865;LESS DOUC FLEUR 32 TABS 2+1GT ;12;315;2;  ;2;0;3;12.01;;;;15.95;Unit‚;1;1;;;0;;;;;LESS DOUC FLEUR 32 TABS 2+1GT ;;1;;;;
3178050000000    ;130134;EDT VAPO SCORPIO VERTIGO 75ML ;12;285;7;MN;80;0;3;11.804;;;;16.9;L;0.075;12;;;0;;;;;EDT VAPO SCORPIO VERTIGO 75ML ;;0;;;;
3023470000000    ;150154;GALETTE ST MICHEL 130G X2     ;14;10;3;  ;2;0;2;2.3;;;;3.89;Kg;0.26;24;;;0;;;;;GALETTE ST MICHEL 130G X2     ;;1;;;;
8000860000000    ;315362;20 COUTEAU ROSE FLO           ;31;377;5;CR;135;0;3;1.01;;;;1.59;Unit‚;1;20;;;0;;;;;20 COUTEAU ROSE FLO           ;;0;;;;
4015400000000    ;130753;RECH LINGET SENS PAMPERS 2+1  ;12;295;8;MN;20810;0;3;4.88;;;;7.29;Unit‚;1;3;;;0;;;;;RECH LINGET SENS PAMPERS 2+1  ;;0;;;;
8427650000000    ;315563;BALAI FLORENCIA+MANCH RGE     ;31;364;1;MN;430;0;3;2.95;;;;4.9;Unit‚;1;1;;;0;;;;;BALAI FLORENCIA+MANCH RGE     ;;0;;;;
3086130000000    ;321465;MARQ.PERM.BIS. BIC NOIR 2     ;32;400;13;MN;8;0;3;0.82;;;;1.6;Unit‚;1;1;;;0;;;;;MARQ.PERM.BIS. BIC NOIR 2     ;;0;;;;
3560070000000    ;130676;LESS PD OXY ACTION CRF 500G   ;12;315;2;CR;90052;0;3;1.55;;;;2.75;Kg;0.5;12;;;0;;;;;LESS PD OXY ACTION CRF 500G   ;;1;;;;
234706000000    ;260585;BAVETTE D'ALOYAU X1 IMPORT    ;26;621;1;MN;20100;0;2;19.7;;;;26.65;Kg;1;1;;;1;;;;;BAVETTE D'ALOYAU X1 IMPORT    ;;0;;;;
3111930000000    ;130200;EAU/COLO RESOL LAVANDE 500ML  ;12;285;6;MN;8;0;3;4.15;;;;0;L;0.5;1;;;0;;;;;EAU/COLO RESOL LAVANDE 500ML  ;;0;;;;
5234    ;560661;FEUILLE DE CHENE LOCAL        ;56;640;23;MN;20825;0;2;2;;;;2.23;Kg;0.4;2;;;0;;;;;FEUILLE DE CHENE LOCAL        ;;0;;;;
7322540000000    ;130294;NANA NORMAL ULTRA X16         ;12;300;4;MN;160;0;2;1.22;;;;3.35;Unit‚;1;18;;;0;;;;;NANA NORMAL ULTRA X16         ;;1;;;;
3412250000000    ;116204;VDP LOIRE CHARDONNAY BLC 75CL ;11;200;8;MN;2;0;3;4.63;;;;6.7;L;0.75;6;;;0;;;;;VDP LOIRE CHARDONNAY BLC 75CL ;;0;;;;
3243770000000    ;570414;10 PAINS AU LAIT NATURE 350G  ;57;810;1;MN;4;0;2;2.12;;;;2.95;Kg;0.35;11;;;0;;;;;10 PAINS AU LAIT NATURE 350G  ;;0;;;;
3760270000000    ;271879;BQT PINTADE PAC S/A 1K250     ;27;750;3;MN;3;0;2;7.65;;;;10.65;Kg;1.25;10;;;0;;;;;BQT PINTADE PAC S/A 1K250     ;;1;;;;
3560070000000    ;315455;BOUGIE VANILLE GJ             ;31;363;1;GJ;90090;0;3;1.18;;;;2.3;Unit‚;1;12;;;0;;;;;BOUGIE VANILLE GJ             ;;0;;;;
4005810000000    ;126821;DEO BILL PEARL BEAUTY NIV 50ML;12;285;5;MN;22003;0;3;3.25;;;;4.65;L;0.05;12;;;0;;;;;DEO BILL PEARL BEAUTY NIV 50ML;;1;;;;
5000200000000    ;126909;DEPOUSSIERANT KIWI 300ML+100GT;12;320;2;  ;22003;0;3;2.41;;;;3.65;L;0.4;6;;;0;;;;;DEPOUSSIERANT KIWI 300ML+100GT;;1;;;;
8721800000000    ;220550;LEERDAMMER PORTION 250G       ;22;795;3;MN;20312;0;2;2.9;;;;3.95;Kg;0.25;12;;;0;;;;;LEERDAMMER PORTION 250G       ;;0;;;;
7610040000000    ;153143;CHOCO 30% NOISETTE 200G       ;14;40;3;MN;8;0;3;2.7;;;;3.95;Kg;0.2;1;;;0;;;;;CHOCO 30% NOISETTE 200G       ;;1;;;;
3073780000000    ;220082;KIRI CREME 18 PORTIONS        ;22;795;7;MN;20312;0;2;4.48;;;;5.69;Kg;0.324;30;;;0;;;;;KIRI CREME 18 PORTIONS        ;;0;;;;
3151730000000    ;130380;MAR WILLIAMS PX SENS 200ML    ;12;285;4;MN;22003;0;3;2.7;;;;0;L;0.2;1;;;0;;;;;MAR WILLIAMS PX SENS 200ML    ;;1;;;;
5060340000000    ;114936;MONSTER ENERGY ZERO 500ML     ;11;245;11;MN;400;0;2;1.58;;;;2.1;L;0.5;12;;;0;;;;;MONSTER ENERGY ZERO 500ML     ;;0;;;;
3249380000000    ;116562;VIN BLC S/ALCOOL NOUVELLE 75CL;11;200;8;MN;410;0;3;4.56;;;;6.75;L;0.75;6;;;0;;;;;VIN BLC S/ALCOOL NOUVELLE 75CL;;0;;;;
3420820000000    ;562024;BQT PANAIS 500G PRIMEAL       ;56;640;32;  ;4;0;2;1.98;;;;2.88;Kg;0.5;12;;;0;;;;;BQT PANAIS 500G PRIMEAL       ;;0;;;;
3181730000000    ;129542;DEO SPRAY AMANDE 200ML+50GT   ;12;285;5;MN;22003;0;3;3.14;;;;4.6;L;0.25;6;;;0;;;;;DEO SPRAY AMANDE 200ML+50GT   ;;1;;;;
3184030000000    ;221205;EMM. RAPE PAYS. BRET 100G     ;22;795;8;MN;4;0;2;1.46;;;;1.85;Kg;0.1;50;;;0;;;;;EMM. RAPE PAYS. BRET 100G     ;;0;;;;
3281440000000    ;560359;BETTERAVE CUBE 2X200G X12     ;56;640;5;MN;4;0;2;1.2;;;;1.75;Kg;1.5;12;;;0;;;;;BETTERAVE CUBE 2X200G X12     ;;0;;;;
3410000000000    ;560385;ECHALOTE TRADITIONNELLE 500G  ;56;640;27;MN;4;0;2;2.21;;;;3.2;Kg;0.5;10;;;0;;;;;ECHALOTE TRADITIONNELLE 500G  ;;0;;;;
3264040000000    ;560489;BQT FRAISES 500G AVION        ;56;645;6;MN;4;0;2;5.25;;;;9.42;Kg;0.5;10;;;0;;;;;BQT FRAISES 500G AVION        ;;0;;;;
3760030000000    ;560489;BQT FRAISES 500G AVION        ;56;645;6;MN;4;0;2;5.25;;;;9.42;Kg;0.5;10;;;0;;;;;BQT FRAISES 500G AVION        ;;0;;;;
3166780000000    ;390134;MANGEOIRE CHAT 0.22L          ;39;435;1;MN;8;0;3;0.89;;;;1.2;Unit‚;1;1;;;0;;;;;MANGEOIRE CHAT 0.22L          ;;1;;;;
45263017020    ;131164;DISICLIN LILAS 828ML X2       ;12;320;5;MN;570;0;3;3.2;;;;3.95;L;1.656;6;;;0;;;;;DISICLIN LILAS 828ML X2       ;;0;;;;
256235000000    ;560715;TOMATE LOCAL BQT              ;56;640;31;MN;4;0;2;1.5;;;;2.4;Kg;1;1;;;1;;;;;TOMATE LOCAL BQT              ;;0;;;;
3523230000000    ;510076;BRIE DE CHEVRE 45%MG 2KG      ;51;690;1;MN;4;0;2;16.7;;;;21.35;Kg;1;2;;;1;;;;;BRIE DE CHEVRE 45%MG 2KG      ;;0;;;;
3230390000000    ;230612;SAUCISSON SEC BATON GAUL 250G ;23;850;11;MN;4;0;2;3.98;;;;6.65;Kg;0.25;25;;;0;;;;;SAUCISSON SEC BATON GAUL 250G ;;1;;;;
